Column 1,Column 2
戴琳娜法国餐厅,4.7分3901条评论 莲湖区未央路27号龙首十字东南角荣民广场宫园壹号2801(陕西省商业联合会门口进)（龙首塬地铁C口）人均￥70
德国赫佰仕啤酒餐厅,4.9分106条评论 雁塔区高新4路16号，西安万豪行政公寓1层（朗臣公寓）人均￥90
麻门匠骨秘制羊棒骨（大寨路店）,4.8分78条评论 雁塔区大寨路与丈八北路交口东北角人人乐北20米人均￥80
润雨·尚品海鲜大闸蟹,4.3分1260条评论 碑林区友谊西路155号陕西省邮票公司办公楼5幢2楼西第四间人均￥51
味一米线（土门华东店）,4.3分3230条评论 莲湖区土门制药厂十字华东万锦城4楼人均￥20
雁鸣烤肉坊（大唐芙蓉园店）,3.5分5条评论 雁塔区芙蓉南路大唐芙蓉园南门B16号曲江书城正对面人均￥76
百富烤霸（西京医院店）,4.9分9505条评论 新城区长乐西路15号西京医院大门东侧双鱼商城1楼（民生银行旁）人均￥16
长安雅集大厦餐厅,4.7分406条评论 雁塔区长安南路84号长安雅集大厦内（与陕西社会主义学院同院）人均￥45
窄巷子陕菜馆（粉巷店）,4.4分1509条评论 碑林区粉巷20号人均￥46
伯爵工房蛋糕（凤城三路店）,4.2分5502条评论 未央区凤城三路东段百花家园10号楼底商公交站牌处（四海唐人街北门）人均￥30
傻得冒冒菜香锅,4.4分800条评论 莲湖区天朗大兴郡蔚蓝锦城10号楼，大兴医院斜对面（金芙蓉旁）人均￥19
幺妹儿重庆纸包鱼,暂无评分2条评论 莲湖区天朗·大兴郡蔚蓝君城人均 -
好口福私房菜,3.9分429条评论 未央区太元路华远君城3幢1单元10212室人均￥42
眉州东坡（金地广场店）,4.4分1523条评论 雁塔区曲江池东路999号金地广场3层人均￥59
蓉一锅豆花串串火锅,4.9分53条评论 灞桥区金裕青青家园（西区）人均￥36
禧旺自助涮烤（胡家庙店）,3.7分10104条评论 新城区东站路12号万源文体城5楼（长缨宾馆向北50米路西）人均￥48
道口烧鸡,4.7分125条评论 莲湖区星火东巷与星火路交叉口旁人均￥18
XOXO酒吧,4.6分17条评论 雁塔区龙城铭园二期人均￥50
呱呱叫民俗风味主题餐厅,4.7分406条评论 长安区210国道中石油加油站斜对面路东（沣峪口环山路转盘往南）人均￥68
麦香蛋糕,4.6分1630条评论 未央区西安工业大学未央校区东门苏席村15排3号人均￥30
XOXO酒吧,4.6分17条评论 雁塔区龙城铭园二期人均￥50
东来顺（交大店）,4.9分8758条评论 碑林区南二环与兴庆路十字东北角出版传媒大厦一层105室人均￥69
建国饭店绿茵阁咖啡厅,4.7分1587条评论 碑林区互助路立交2号建国饭店绿茵阁咖啡厅（近互助路立交桥）人均￥123
徽興記黄山臭桂鱼（曲江银泰城店）,4.4分35条评论 雁塔区雁塔南路银泰城B馆3楼人均￥73
馋莱客炸鸡汉堡（海棠店）,4.1分327条评论 灞桥区狄寨大学城商业街2号人均￥16
甜酷·星期五cake工坊（钟楼店）,4.9分792条评论 莲湖区甜水井街双仁府3号楼6栋00114号（艺术幼儿园往西100米）人均￥60
川寨子麻辣香锅冒菜（民乐园万达广场店）,3.5分2条评论 新城区解放路111号民乐园万达广场5楼人均￥35
苏福记（凤城三路店）,4.4分5150条评论 未央区未央路与凤城三路十字向西100米路南（市图书馆）人均￥47
Jane's garden 简的花园牛扒屋（简的花园）,4.4分2369条评论 碑林区太白路立交西北角人民法院隔壁丰润国际8楼观光电梯直达（南二环太白路立交近怡丰城向北50米）人均￥88
锡林阿玛冰煮羊（钟楼银泰店）,4.9分323条评论 碑林区西大街鼓楼对面银泰百货6层（地铁二号线钟楼站C口向西286米）人均￥90
怡咖啡·自助餐（香格里拉大酒店）,4.1分840条评论 雁塔区科技路38号乙香格里拉大酒店1层人均￥170
红透天自助涮烤（土门店）,4.1分19751条评论 莲湖区汉城南路旭景新港华东万锦城购物中心4楼（制药厂）人均￥45
金洲美食·浔味陕南,4分1条评论 雁塔区科技四路万科金域店人均￥72
彼德西餐（凯德店）,4.3分4085条评论 雁塔区二环南路西段64号凯德广场4楼4-19人均￥84
爱心蛋糕坊,5分1571条评论 鄠邑区人民路人人乐超市北侧巷内（朱雀广场东门里同一药店南侧）人均￥45
白小宝烤肉店,4分18条评论 新城区民乐园南区(尚勤路)231号人均￥30
红透天自助涮烤（大寨路店）,3.8分23801条评论 雁塔区大寨路与丈八北路交叉口东南角（新乐城3楼）人均￥43
锦唐印象（纺织城店）,4.9分16665条评论 灞桥区纺北路阳光时代B座1-2层（堡子村转盘向东150米路北）人均￥58
Time Cake时光纪蛋糕,5分38条评论 雁塔区春临三路凯旋新天地2层120号人均￥159
小肥羊（小寨金莎国际店）,4.9分6767条评论 雁塔区长安中路65号金莎国际购物广场5层人均￥73
储缘蛋糕（十里铺店）,4.9分954条评论 灞桥区十里铺北路与华清东路交叉口向东100米路南凯森福景美地人均￥44
稀罕妳泥炉烧烤,4.3分78条评论 雁塔区唐延路北段59号唐延鑫苑3号楼一层（锦都小区南门对面）人均￥93
横城韩牛一韩式烤肉炸鸡（民乐园万达店）,4.9分6147条评论 新城区解放路111号五路口东南角万达广场5层西北角2号电梯旁人均￥82
李记搅团（东关正街店）,4.9分2028条评论 碑林区东关正街66号世贸大厦B座2层西室（东门外人人乐对面）人均￥44
沐海林铁锅炖鱼馆,暂无评分2条评论 灞桥区贝斯特五金机电市场西门人均￥40
锦翔炝锅城（五路口店）,4.9分52419条评论 新城区尚勤路纺织大厦59号人均￥47
王府川菜馆,4.9分483条评论 新城区尚德路190号（尚德路与西七路交叉口圣和医院南30米）人均￥28
