names,scores,longitude,latitude,mean_price,comment,cluster
爱心蛋糕坊,5.0,112.982544,28.197607,45,1571,4
白小宝烤肉店,4.0,108.966079,34.266608,30,18,1
红透天自助涮烤（大寨路店）,3.8,108.873128,34.244706,43,23801,2
锦唐印象（纺织城店）,4.9,109.059190,34.277259,58,16665,3
Time Cake时光纪蛋糕,5.0,108.977187,34.183660,159,38,4
小肥羊（小寨金莎国际店）,4.9,108.947278,34.225723,73,6767,4
储缘蛋糕（十里铺店）,4.9,109.025053,34.289922,44,954,4
稀罕妳泥炉烧烤,4.3,108.890806,34.240414,93,78,5
横城韩牛一韩式烤肉炸鸡（民乐园万达店）,4.9,108.964952,34.268620,82,6147,4
李记搅团（东关正街店）,4.9,108.975888,34.258245,44,2028,4
锦翔炝锅城（五路口店）,4.9,108.967030,34.270036,47,52419,2
王府川菜馆,4.9,108.960425,34.273323,28,483,4
羊瑞堂铁锅羊肉（未央路旗舰店）,4.4,108.947543,34.306242,81,2645,5
皇冠假日酒店·朱雀咖啡厅,4.0,108.939970,34.231292,142,573,1
千家粗粮王（小寨店）,4.1,108.947490,34.222490,67,53724,2
千家粗粮王（东大街店）,4.3,108.946810,34.258239,61,44444,2
李想大虾火锅花园（郭杜店）,3.7,108.864925,34.160011,57,8575,1
长安大牌档之西游漫记（大悦城店）,4.1,108.961153,34.214684,72,39,1
鸭掌门（青龙寺店）,3.6,108.987490,34.228608,58,3125,1
曼岛咖啡,3.8,108.923344,34.221840,54,2503,1
大厨小馆（阳阳国际店）,4.2,108.937652,34.217516,58,297,5
烤什么名堂·陕菜·烧烤（西门店）,4.3,108.925571,34.255735,55,3520,5
西安烤鸭店（西荷店）,3.7,108.925754,34.235360,70,1238,1
重庆无刺纸包鱼,4.5,108.981639,34.381948,50,10,5
西部马华食府（含光路店）,4.3,108.932031,34.227351,40,3743,5
上善素食馆,4.9,108.977580,34.259697,61,296,4
鱼酷活力烤鱼（老城根店）,4.5,108.921205,34.285075,90,6,5
古都·金麦西饼屋,4.4,109.021011,34.398012,25,986,5
赛纳维红酒餐厅,4.9,108.884000,34.196501,65,95,4
荣宴·中餐厅,4.5,108.895050,34.223540,1686,2,5
尚克拉拉牛排（钟楼店）,4.0,108.949350,34.259253,79,12210,1
顺水鱼馆（高新路店）,4.5,108.897493,34.214178,65,2115,5
茶见小院,4.4,108.936955,34.344175,61,133,5
江城小馆陕南妈妈菜·全球旅行餐厅（长安地标老店）,4.4,108.943685,34.256251,43,2243,5
长安大牌档之凤舞朝阳（朝阳门店）,4.2,108.973159,34.269471,57,1657,5
川渝人家（海韵店）,4.6,108.950821,34.322357,48,580,5
粤港饭店,4.4,109.026672,34.327806,79,7,5
拉菲达牛排自助（赛格国际店）,3.7,108.947616,34.223172,57,19229,2
清真·老兰家（兴善寺西街总店）,4.3,108.939355,34.225766,46,1853,5
秦西坊餐厅,4.3,108.907644,34.244574,60,9,5
豪客来牛排（唐延中心城店）,4.9,108.889360,34.238480,57,2040,4
陇海净和川菜,4.7,108.962388,34.271127,47,599,4
宁厨家饭,4.6,108.899286,34.292676,40,1127,5
西安中兴和泰酒店,4.7,108.884720,34.185799,477,454,4
园园果业,4.9,108.951259,34.286204,10,51,4
大叔牛排店,4.8,108.909414,34.258981,45,757,4
吉鸡记板栗大盘鸡,4.2,108.992415,34.217584,35,22,5
麦当劳（西安长乐路店）,4.1,108.982399,34.267950,33,176,1
清真·穆巴拉克西餐厅（回民街店）,4.8,108.938451,34.263312,50,3835,4
外婆印象（西工大店）,4.6,108.911350,34.241555,40,1457,5
HLS小酒馆（太和广场店）,4.9,108.952363,34.258332,21,5329,4
卡瓦咖啡·酒吧,4.2,108.926343,34.347587,40,75,5
柴门陕南本土家菜（大雁塔店）,4.9,108.966228,34.215269,58,1390,4
皇家蛋糕（一店）,4.7,108.210451,34.161108,35,816,4
阳澄湖大闸蟹（澄宝店）,4.3,108.939346,34.249271,46,57,5
水中天茶十食（高新店）,4.3,119.929878,31.643923,146,26,5
鼎香食府,3.9,109.005956,34.269171,58,664,1
清真拉菲尔鱼莊,4.0,108.936865,34.266990,49,1149,1
百富烤霸（小寨汉唐店）,4.2,108.947168,34.219908,18,13305,3
莱茵河中西餐厅,3.9,108.608772,34.107704,45,1771,1
洛可可蛋糕坊（紫薇田园都市店）,5.0,108.872457,34.179555,88,602,4
天龙宝严素食馆（大兴善寺店）,4.0,108.943286,34.227029,42,584,1
麦香诚蛋糕（周至八云塔店）,5.0,108.217152,34.161326,20,1716,4
澳美徕·花胶鸡火锅（高新万达店）,4.9,108.888076,34.207729,73,1555,4
迈德思客（纺织城店）,4.1,109.064103,34.267570,16,3707,1
80后陕西特产超市（大雁塔店）,4.9,108.963559,34.223610,93,84,4
汉堡王（西安凯德新地店）,4.7,108.934668,34.228903,32,1373,4
捷客比萨（临潼店）,3.8,109.223999,34.377207,35,2370,1
桑记重庆老灶王串串香,4.9,108.912754,34.214374,52,1362,4
悦豪云顶自助餐厅,3.7,108.902328,34.241347,91,429,1
西安天骊君廷大酒店·赛纳宫西餐厅,4.9,108.912572,34.218950,67,520,4
大唐西市酒店,4.6,108.908433,34.246142,118,386,5
大海子陕菜小寨店,4.2,108.941309,34.225599,49,1526,5
普素茶房（文艺路店）,4.2,108.956928,34.245661,56,156,5
华莱士·全鸡汉堡（阎良店）,3.8,109.229257,34.659224,15,5079,1
福苗小骆驼烧烤（大华1935店）,3.4,108.971296,34.294213,85,1370,1
睿德居酒楼,4.9,108.970985,34.270043,59,366,4
徽興記黄山臭桂鱼（桃园路店）,4.4,108.899960,34.251270,101,29,5
大香港酒楼（国宾店）,4.2,108.972873,34.259643,73,339,5
567大连海鲜旅大码头海鲜（锦业路店）,4.9,108.857423,34.193464,77,1950,4
福苗小骆驼烧烤（太奥广场店）,3.8,108.892759,34.283268,83,821,1
星期八工坊,4.9,108.938158,34.152506,50,612,4
西安西藏大厦开元名都大酒店自助餐厅,4.0,108.960962,34.241501,128,671,1
川渝小渔哥,4.7,108.941311,34.159851,30,22,4
金香缘云南过桥米线,4.5,109.120067,34.284309,19,1058,5
站前猪蹄&家常炒菜,4.9,109.008679,34.269325,39,414,4
小蛮子纸包鱼（沙井村北口店）,4.2,108.910991,34.223782,39,1870,5
美佳蛋糕（玉祥门大兴路店）,5.0,108.929711,34.273281,80,340,4
葡庭餐厅,4.8,108.937679,34.340962,65,3132,4
小六汤包（印象城购物中心店）,4.5,108.948252,34.293973,27,371,5
月食海鲜小馆,4.8,108.966974,34.265997,90,215,4
久龍坡纸包鱼,4.9,108.874823,34.194548,47,405,4
山海臻鲜火锅,3.5,108.904088,34.236500,100,2,1
煌上煌自助小火锅（长大店）,4.9,108.914197,34.372310,28,595,4
安旗（钟楼店）,4.7,119.899892,31.786155,51,992,4
