name,scores,address,mean_price,comment
大叔牛排店,4.8,莲湖区西稍门丰镐东路与劳动南路交叉口西南角360号柠檬宫舍24楼2401号（三度汇馆大楼上，大门朝西方向）,45,757
吉鸡记板栗大盘鸡,4.2,雁塔区曲江龙湖星悦荟三层,35,22
麦当劳（西安长乐路店）,4.1,新城区长乐西路218号西北商贸B1楼,33,176
清真·穆巴拉克西餐厅（回民街店）,4.8,莲湖区庙后街19号（庙后街小学东行100米）,50,3835
外婆印象（西工大店）,4.6,碑林区友谊西路与白庙路交叉口东南角人人乐2楼（人人乐停车场入口进）,40,1457
HLS小酒馆（太和广场店）,4.9,碑林区骡马市南柳巷太和广场2层,21,5329
卡瓦咖啡·酒吧,4.2,未央区凤城九路文景小区西区南门底商（明光路派出所正对面）,40,75
柴门陕南本土家菜（大雁塔店）,4.9,雁塔区雁塔南路南广场新乐汇A6区,58,1390
皇家蛋糕（一店）,4.7,周至县中心街（烟草局向东50米）,35,816
阳澄湖大闸蟹（澄宝店）,4.3,碑林区朱雀大街北段179号,46,57
水中天茶十食（高新店）,4.3,高新区高新一路9号富德大厦一楼,146,26
鼎香食府,3.9,新城区长乐中路126号沣华国际酒店8楼（近长乐路）,58,664
清真拉菲尔鱼莊,4.0,莲湖区许士庙街教场门59号布丁酒店旁边,49,1149
百富烤霸（小寨汉唐店）,4.2,雁塔区长安中路89号汉唐书城1楼,18,13305
莱茵河中西餐厅,3.9,鄠邑区草堂路3号,45,1771
洛可可蛋糕坊（紫薇田园都市店）,5.0,雁塔区高新区细柳街办紫薇田园都市B区8号楼4单元102号,88,602
天龙宝严素食馆（大兴善寺店）,4.0,雁塔区兴善西街55号路北大兴善寺内,42,584
麦香诚蛋糕（周至八云塔店）,5.0,周至县八云塔辣子街往北新商业街西口（新商业街西口往北10米、袁师傅肉夹馍斜对门）,20,1716
澳美徕·花胶鸡火锅（高新万达店）,4.9,雁塔区科技七路与唐延路交叉口万达广场4楼,73,1555
迈德思客（纺织城店）,4.1,灞桥区纺织城正街416号（三方超市对面）,16,3707
80后陕西特产超市（大雁塔店）,4.9,雁塔区雁塔北路南段永丰酒店一层北侧（大雁塔地铁站F口出口处）,93,84
汉堡王（西安凯德新地店）,4.7,"雁塔区二环南路西段64号,凯德广场.新地城01层01-09B号",32,1373
捷客比萨（临潼店）,3.8,临潼区会昌路与秦陵北路交叉口东南角（近华润万家）,35,2370
桑记重庆老灶王串串香,4.9,雁塔区电子一路西段18号西部电子商业步行街1层129-1号商铺,52,1362
悦豪云顶自助餐厅,3.7,雁塔区二环南路西段180号（近高新三路）,91,429
西安天骊君廷大酒店·赛纳宫西餐厅,4.9,雁塔区太白南路198号（科技二路口）,67,520
大唐西市酒店,4.6,莲湖区劳动南路118号西市五坊（大唐西市文旅景区内、近大唐西市博物馆）,118,386
大海子陕菜小寨店,4.2,雁塔区兴善寺西街小寨百盛飞炫购物广场,49,1526
普素茶房（文艺路店）,4.2,碑林区建西街138号（近文艺北路）,56,156
华莱士·全鸡汉堡（阎良店）,3.8,阎良区胜利街南段16号（近凯利金店）,15,5079
福苗小骆驼烧烤（大华1935店）,3.4,新城区太华南路大华1935内（近太华路大明宫公园东南对面）,85,1370
睿德居酒楼,4.9,新城区东五路与顺城东路北段交叉口西北角（近朝阳门）,59,366
徽興記黄山臭桂鱼（桃园路店）,4.4,莲湖区桃园南路38号,101,29
大香港酒楼（国宾店）,4.2,碑林区环城东路中段1号（近大东门）,73,339
567大连海鲜旅大码头海鲜（锦业路店）,4.9,雁塔区锦业路76号文化创意园SOHO空间第2幢1单元1层10101号,77,1950
福苗小骆驼烧烤（太奥广场店）,3.8,莲湖区丰禾路太奥广场4号楼3楼（西二环与丰禾路交叉口）,83,821
星期八工坊,4.9,长安区韦曲青年街88号,50,612
西安西藏大厦开元名都大酒店自助餐厅,4.0,碑林区友谊东路333号,128,671
川渝小渔哥,4.7,长安区青年北街与文化街路口东北40米,30,22
金香缘云南过桥米线,4.5,灞桥区田洪正街路家湾小区（18层对面）,19,1058
站前猪蹄&家常炒菜,4.9,新城区长乐中路九街坊3号楼106号,39,414
小蛮子纸包鱼（沙井村北口店）,4.2,雁塔区科创路沙井村四组,39,1870
美佳蛋糕（玉祥门大兴路店）,5.0,莲湖区习武园12号,80,340
葡庭餐厅,4.8,未央区凤城八路与文景路十字西北角（往北350米路西）,65,3132
小六汤包（印象城购物中心店）,4.5,未央区未央路33号与龙首北路交叉口东北角印象城购物中心B1楼,27,371
月食海鲜小馆,4.8,新城区东二路与尚勤路交口西行20米路南,90,215
北家姓转转小火锅,4.5,鄠邑区大十字向北200米，烟草局隔壁,39,852
久龍坡纸包鱼,4.9,雁塔区丈八三路绿地世纪城饕界停车入口向东200米二楼处（靠近畵臻楼处）,47,405
山海臻鲜火锅,3.5,雁塔区高新一路天公大厦一楼内侧,100,2
煌上煌自助小火锅（长大店）,4.9,未央区草滩一路长乐购物中心2楼,28,595
安旗（钟楼店）,4.7,鄠邑区西街钟楼西南角人人家购物广场一楼门面,51,992
小武烤肉,5.0,周至县南新街与中心东街交叉口南行80米路西,40,51
奥赛奥章鱼水煎肉,4.9,碑林区东大街骡马市1号民生百货6层,53,3487
北京羲和雅苑烤鸭坊（熙地港店）,4.7,未央区凤城七路未央路口熙地港4层（行政中心站地铁B3口）,86,1332
川西豆皮涮牛肚火锅,3.5,未央区学府东路学府公寓3楼,50,9
俄士厨房（吉祥路店）,4.9,雁塔区吉祥路168号,78,4572
咪咪川菜（白桦林居店）,4.9,未央区西文景路88号白桦林居东门D栋88号（近凤城八路）,35,522
马虎面馆（翠华北路店）,3.5,雁塔区雁塔区翠华北路353号,18,4
勇利赵家烤肉坊（纬二街店）,5.0,雁塔区纬二街世纪经典大厦1楼,50,14644
川坝子老灶火锅（航天店）,3.6,长安区凤栖东路韦曲福泽巷三楼,66,932
旺袁记神仙酸汤鱼,4.5,雁塔区枫林路禾盛京广中心（t11商场3F西北角）,79,35
莱卡味道,4.9,未央区文景路与凤城七路十字向西200米路北（龙东国际酒店一楼）,30,120
秦人街西北菜,4.6,未央区凤城九路海荣名城小区裙楼二层10204A座,63,281
福苗小骆驼烧烤（凤八店）,4.4,未央区凤城八路123号地铁四号线文景路站A口出,86,5
老狼大盘鸡,4.3,鄠邑区政法路与北街交叉口公安局向西50米,25,454
二掌柜水盆羊肉（水文巷店）,4.9,碑林区张家村街道水文南巷北口路西（陕西省人民医院旁）,20,781
洛可可蛋糕坊（交大店）,5.0,碑林区兴庆南路学府首座9号楼1层10104号西户,74,959
永刚烤肉（临潼店）,5.0,临潼区人民西路博爱医院隔壁,47,3721
米斯特比萨（金辉店）,3.8,莲湖区唐延路北段22号（金辉国际广场1层11-12室）,67,777
粤西渔村,3.5,莲湖区梨园路御园温泉小区D区七号楼一楼西北角,110,1
小阿妹米线（凤城一路店）,4.9,未央区凤城一路与未央路交叉口西行100米路南（芳馨园小区底商）,23,6175
方燕烤猪蹄烧烤（长安广场旗舰店）,4.1,长安区广场北路圣合家园一期紫鑫阁饭店向南50米,10,21791
爱尚伯爵（泾渭店）,3.9,高陵区泾渭路与泾环南路交叉口东北角,27,4594
东东包（交大店）,3.9,碑林区兴庆南路89号启光大厦1楼,15,5086
好享龙虾,3.7,碑林区咸宁西路62号陕煤招待所院内,123,32
2068香辣虾（电子正街店）,3.7,雁塔区电子正街231号,58,9679
牛一嘴·中国兰州牛肉拉面（财富中心店）,3.9,雁塔区南二环西段财富中心A座一层南侧（近高新二路）,15,7178
洛可可生日蛋糕坊（城市立方店）,5.0,雁塔区朱雀大街南段华城万象2期5号楼,69,1063
小锅无界（新世界店）,4.2,莲湖区北大街88号（宏府嘉会广场新世界百货负二楼）,46,4228
王华峰潼关肉夹馍（太元路店）,4.1,未央区太元路，华远君城4-101号,16,2026
Route 就现在蛋糕（线上店）,4.4,碑林区地铁3号线咸宁路站c口向南150米,68,4
2068香辣虾（全国总店）,4.0,未央区未央路69号华迪大厦1-2层,66,11839
欧巴来了韩式料理,4.5,雁塔区兴善寺东街83号（小螺娃隔壁）,34,20602
老城味道,4.2,未央区鱼藻东路水晶卡芭拉小区北门东行50米,19,18541
大城小鸡黄焖鸡排骨米饭(非外卖)（新城总店）,4.2,新城区尚俭路470号卫民社区团结楼一号楼二号,18,5178
美佳蛋糕（小寨赛格大雁塔店）,5.0,雁塔区长安中路小寨村89号,80,281
聚丰苑北京烤鸭店（龙首北路店）,3.7,未央区龙首北路西段27-17号,51,2098
五谷香自助涮烤火锅（青年南街店）,3.8,长安区青年南街菲特主题酒店南10米,37,14355
疯狂的棒棒•撸串公司火锅,3.5,未央区富源三路秦东大厦南侧（和平商场1楼）,60,1
麦之香蛋糕（友谊东路店）,3.9,碑林区测绘东路李家分村8号,33,3665
汉釜宫韩式烤肉（临潼店）,4.0,临潼区万年路6号,35,4844
Merrykin麦里金（美院专卖店）,4.4,雁塔区雁塔西路254号（美术学院东门对面）,19,4862
老车家牛羊肉泡馍馆（大差市店）,4.5,碑林区东羊市6号（马厂子十字东南角）,24,7300
瓦库30号（曼蒂广场店）,4.5,雁塔区雁南一路曼蒂广场南门东侧一、二楼,136,3
